채용 제목,채용 링크,회사명,회사 링크,지역,경력,학력,고용형태,연봉,직무 분야,등록일,마감일
풀스택 개발자(시니어급),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49498943&location=ts&searchType=search&paid_fl=n&search_uuid=88801713-ad38-4285-af68-d66020ddde78,주식회사 아더월드,https://www.saramin.co.kr/zf_user/company-info/view?csn=RFJ0K0N2VEFGc2NGeWhSNVhmbVpRZz09,서울전체,경력 8~9년,대졸↑,정규직,정보 없음,"백엔드/서버개발, 웹개발, 퍼블리셔, 프론트엔드, SE(시스템엔지니어)",2024/11/29,2024/12/31
영상 기획·제작 신입/경력사원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49501711&location=ts&searchType=search&paid_fl=n&search_uuid=88801713-ad38-4285-af68-d66020ddde78,(주)마음을그리다,https://www.saramin.co.kr/zf_user/company-info/view?csn=LzB6VHV2OTNLU24vOGxKNDh3eDZyQT09,서울 마포구,경력2년↑,초대졸↑,정규직,정보 없음,"영상처리, 의료영상, 영상의학과, 영상디자이너, 촬영감독",2024/12/01,2024/12/31
(자동차부품 기업) 펌웨어 회로설계 경력자(용인 기흥),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49456910&location=ts&searchType=search&paid_fl=n&search_uuid=88801713-ad38-4285-af68-d66020ddde78,보스턴써치,https://www.saramin.co.kr/zf_user/company-info/view?csn=UldhNGF6RXBXODVsWnVtaEN6cXZKdz09,경기 용인시 기흥구,경력 3~12년,초대졸↑,정규직,정보 없음,"임베디드, 펌웨어, C언어, 헤드헌팅",2024/12/01,2024/12/23
(자동차부품 기업) S/W 펌웨어 경력 1년이상,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49469594&location=ts&searchType=search&paid_fl=n&search_uuid=88801713-ad38-4285-af68-d66020ddde78,보스턴써치,https://www.saramin.co.kr/zf_user/company-info/view?csn=UldhNGF6RXBXODVsWnVtaEN6cXZKdz09,경기 안양시 동안구,경력 1~6년,초대졸↑,정규직,정보 없음,"임베디드, 펌웨어, C언어, S/W, 헤드헌팅",2024/12/01,2024/12/26
[스튜디오삼익] 웹디자이너 정규직 채용(삼익가구/스칸디아),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49487079&location=ts&searchType=search&paid_fl=n&search_uuid=88801713-ad38-4285-af68-d66020ddde78,(주)스튜디오삼익,https://www.saramin.co.kr/zf_user/company-info/view?csn=VFJ2T3Y5MktYTDV0dFVuTXBvei9Pdz09,서울 마포구,경력 1~10년,초대졸↑,정규직,정보 없음,"유지보수, CSS, HTML, 오픈마켓, 그래픽디자인",2024/11/28,채용시
인공지능기반 제약사 AI연구소 플랫폼 기술연구&웹백앤드 개발,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49450284&location=ts&searchType=search&paid_fl=n&search_uuid=88801713-ad38-4285-af68-d66020ddde78,(주)에이치알타운,https://www.saramin.co.kr/zf_user/company-info/view?csn=K3RDdnNmZnowdHpDc2Jib2prTlhrUT09,서울 마포구,경력3년↑,학력무관,정규직,정보 없음,"백엔드/서버개발, AI(인공지능), Java, MySQL, PL/SQL",2024/12/01,2024/12/22
의료기기전문기업  제어개발파트 회로설계 FW 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49450171&location=ts&searchType=search&paid_fl=n&search_uuid=88801713-ad38-4285-af68-d66020ddde78,(주)에이치알타운,https://www.saramin.co.kr/zf_user/company-info/view?csn=K3RDdnNmZnowdHpDc2Jib2prTlhrUT09,서울 관악구,경력 2~10년,대졸↑,정규직,정보 없음,"회로설계, 장비제어, FW, 큐어젯노보젯, 부스터젯",2024/12/01,2024/12/22
의료기기전문기업  제어개발파트 시스템SW 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49450167&location=ts&searchType=search&paid_fl=n&search_uuid=88801713-ad38-4285-af68-d66020ddde78,(주)에이치알타운,https://www.saramin.co.kr/zf_user/company-info/view?csn=K3RDdnNmZnowdHpDc2Jib2prTlhrUT09,서울 관악구,경력 2~10년,대졸↑,정규직,정보 없음,"S/W, 기술지원, Android, Java, Linux",2024/12/01,2024/12/22
AI Marketing기업 백엔드개발 부문 (5년~),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49458168&location=ts&searchType=search&paid_fl=n&search_uuid=88801713-ad38-4285-af68-d66020ddde78,(주)에이치알비즈코리아,https://www.saramin.co.kr/zf_user/company-info/view?csn=Z3FCSzRTbFFyeS90K0VJNjJDMUlrQT09,서울 강남구,경력5년↑,대졸↑,정규직,정보 없음,"백엔드/서버개발, 솔루션, API, Java, SI·시스템통합",2024/12/01,2024/12/24
AI Marketing기업 네트워크 엔지니어 부문(CISCO),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49458162&location=ts&searchType=search&paid_fl=n&search_uuid=88801713-ad38-4285-af68-d66020ddde78,(주)에이치알비즈코리아,https://www.saramin.co.kr/zf_user/company-info/view?csn=Z3FCSzRTbFFyeS90K0VJNjJDMUlrQT09,서울 강남구,경력5년↑,대졸↑,정규직,정보 없음,"네트워크, 인프라, 클라우드, 방화벽, 트러블슈팅",2024/12/01,2024/12/24
식품대기업 그룹내 AI 웹서비스 개발 및 운영  대리급경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49441223&location=ts&searchType=search&paid_fl=n&search_uuid=88801713-ad38-4285-af68-d66020ddde78,(주)에이치알타운,https://www.saramin.co.kr/zf_user/company-info/view?csn=K3RDdnNmZnowdHpDc2Jib2prTlhrUT09,서울 서초구,경력 5~10년,대졸↑,정규직,정보 없음,"앱개발, 웹개발, 프론트엔드, Python, 유지보수",2024/12/01,2024/12/20
광고 & 마케팅 플랫폼 기획 (3년-7년차),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49458272&location=ts&searchType=search&paid_fl=n&search_uuid=88801713-ad38-4285-af68-d66020ddde78,디케이파트너스,https://www.saramin.co.kr/zf_user/company-info/view?csn=ZzR0d0hhNFJEdlVKVzhFdkVVdzltdz09,서울 관악구,경력 3~7년,초대졸↑,정규직,정보 없음,"기술지원, UI/UX디자인, 광고기획사, 광고대행사",2024/12/01,2024/12/24
Back-end 개발 (4년 - 6년차),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49448949&location=ts&searchType=search&paid_fl=n&search_uuid=88801713-ad38-4285-af68-d66020ddde78,디케이파트너스,https://www.saramin.co.kr/zf_user/company-info/view?csn=ZzR0d0hhNFJEdlVKVzhFdkVVdzltdz09,서울 관악구,경력 4~6년,대졸↑,정규직,정보 없음,"앱개발, API, C++, MariaDB, Node.js",2024/12/01,2024/12/22
"[대기업, 코스피, IT 컴퓨터 프로그래밍 기업, 서울] SCM PI",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49501639&location=ts&searchType=search&paid_fl=n&search_uuid=88801713-ad38-4285-af68-d66020ddde78,에이치알포유(주),https://www.saramin.co.kr/zf_user/company-info/view?csn=b0p2MmFPMXBSZnlxSEQ3Q29sVmRuZz09,서울 금천구,경력 7~15년,대졸↑,정규직,정보 없음,"IT컨설팅, 경영분석, 경영컨설팅, 경영혁신(PI), 데이터분석",2024/12/01,채용시
"[대기업, 코스피, IT 컴퓨터 프로그래밍, 서울] Biz 컨설팅 PM",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49501633&location=ts&searchType=search&paid_fl=n&search_uuid=88801713-ad38-4285-af68-d66020ddde78,에이치알포유(주),https://www.saramin.co.kr/zf_user/company-info/view?csn=b0p2MmFPMXBSZnlxSEQ3Q29sVmRuZz09,서울 금천구,경력 7~20년,대졸↑,정규직,정보 없음,"IT컨설팅, ICT컨설팅, 빅데이터, 솔루션, 인프라",2024/12/01,채용시
IT/디지털 분야 헤드헌터 (신입/경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49414532&location=ts&searchType=search&paid_fl=n&search_uuid=88801713-ad38-4285-af68-d66020ddde78,(주)스카우트플랜,https://www.saramin.co.kr/zf_user/company-info/view?csn=ZU5Vc0tIVVd6UnJDNHFwd3hYTUh0dz09,서울 강남구,경력무관,대졸↑,위촉직·프리랜서,정보 없음,"기술지원, 데이터분석가, 보안컨설팅, 정보보안, 퍼블리셔",2024/12/01,2024/12/17
"[대기업, 코스피, IT 컴퓨터 프로그래밍, 서울]Biz 컨설팅 수행",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49501626&location=ts&searchType=search&paid_fl=n&search_uuid=88801713-ad38-4285-af68-d66020ddde78,에이치알포유(주),https://www.saramin.co.kr/zf_user/company-info/view?csn=b0p2MmFPMXBSZnlxSEQ3Q29sVmRuZz09,서울 금천구,경력 3~7년,대졸↑,정규직,정보 없음,"데이터분석가, 데이터엔지니어, IT컨설팅, ICT컨설팅, 데이터마이닝",2024/12/01,채용시
[정규직] 차량시스템 시험/검증 엔지니어 채용 (안양 평촌),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49473709&location=ts&searchType=search&paid_fl=n&search_uuid=88801713-ad38-4285-af68-d66020ddde78,(주)오토노머스에이투지,https://www.saramin.co.kr/zf_user/company-info/view?csn=ekFIVndxeEwzdno2RjVDajE5S0I0Zz09,경기 안양시 동안구,경력무관,대졸↑,정규직,정보 없음,"H/W, S/W, C++, C언어, Python",2024/11/26,채용시
"[대기업, 코스피, IT 컴퓨터 프로그래밍 기업, 서울] Biz KAM",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49501625&location=ts&searchType=search&paid_fl=n&search_uuid=88801713-ad38-4285-af68-d66020ddde78,에이치알포유(주),https://www.saramin.co.kr/zf_user/company-info/view?csn=b0p2MmFPMXBSZnlxSEQ3Q29sVmRuZz09,서울 금천구,경력10년↑,대졸↑,정규직,정보 없음,"데이터분석가, 데이터엔지니어, IT컨설팅, ICT컨설팅, 데이터마이닝",2024/12/01,채용시
WEB 웹개발 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49416829&location=ts&searchType=search&paid_fl=n&search_uuid=88801713-ad38-4285-af68-d66020ddde78,(주)제이앤씨에이치알,https://www.saramin.co.kr/zf_user/company-info/view?csn=L1lZN2Q0eU9zSWR0Q0tONTlldmRCUT09,서울 영등포구,경력5년↑,대졸↑,정규직,정보 없음,"백엔드/서버개발, 웹개발, SI개발, Git, Java",2024/12/01,2024/12/18
"[대기업,  IT 컴퓨터 프로그래밍 기업, 서울] SAP TECH 컨설팅",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49501620&location=ts&searchType=search&paid_fl=n&search_uuid=88801713-ad38-4285-af68-d66020ddde78,에이치알포유(주),https://www.saramin.co.kr/zf_user/company-info/view?csn=b0p2MmFPMXBSZnlxSEQ3Q29sVmRuZz09,서울 금천구,경력10년↑,대졸↑,정규직,정보 없음,"데이터분석가, 데이터엔지니어, 보안컨설팅, IT컨설팅, ICT컨설팅",2024/12/01,채용시
"[대기업, 코스피, IT 컴퓨터 프로그래밍 기업, 서울] IT KAM",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49501617&location=ts&searchType=search&paid_fl=n&search_uuid=88801713-ad38-4285-af68-d66020ddde78,에이치알포유(주),https://www.saramin.co.kr/zf_user/company-info/view?csn=b0p2MmFPMXBSZnlxSEQ3Q29sVmRuZz09,서울 금천구,경력 7~15년,대졸↑,정규직,정보 없음,"IT컨설팅, ICT컨설팅, 미들웨어, 빅데이터, 솔루션",2024/12/01,2024/12/31
FW 엔지니어(경력직) 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49381356&location=ts&searchType=search&paid_fl=n&search_uuid=88801713-ad38-4285-af68-d66020ddde78,엠케이피(주),https://www.saramin.co.kr/zf_user/company-info/view?csn=bWNxeGxITVlPclFFVHFlcjVrUUkrZz09,경기 화성시,경력 5~10년,대졸↑,정규직,정보 없음,"펌웨어, MCU, 전자제어, 펌웨어, 반도체",2024/12/01,2024/12/12
"[대기업, IT 컴퓨터 프로그래밍, 서울]Biz 컨설팅 수행(책임)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49501614&location=ts&searchType=search&paid_fl=n&search_uuid=4de79499-8018-4a1a-9a45-52dae17011a4,에이치알포유(주),https://www.saramin.co.kr/zf_user/company-info/view?csn=b0p2MmFPMXBSZnlxSEQ3Q29sVmRuZz09,서울 금천구,경력 7~15년,대졸↑,정규직,정보 없음,"데이터분석가, 데이터엔지니어, IT컨설팅, ICT컨설팅, 데이터마이닝",2024/12/01,채용시
"[대기업,  IT 컴퓨터 프로그래밍 기업, 서울]SAP 모듈 컨설팅",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49501613&location=ts&searchType=search&paid_fl=n&search_uuid=4de79499-8018-4a1a-9a45-52dae17011a4,에이치알포유(주),https://www.saramin.co.kr/zf_user/company-info/view?csn=b0p2MmFPMXBSZnlxSEQ3Q29sVmRuZz09,서울 금천구,경력 7~15년,대졸↑,정규직,정보 없음,"데이터분석가, 데이터엔지니어, 보안컨설팅, IT컨설팅, ICT컨설팅",2024/12/01,채용시
"[대기업,  IT 컴퓨터 프로그래밍 기업, 서울]ERP 컨설팅 PM/IM",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49501612&location=ts&searchType=search&paid_fl=n&search_uuid=4de79499-8018-4a1a-9a45-52dae17011a4,에이치알포유(주),https://www.saramin.co.kr/zf_user/company-info/view?csn=b0p2MmFPMXBSZnlxSEQ3Q29sVmRuZz09,서울 금천구,경력10년↑,대졸↑,정규직,정보 없음,"데이터분석가, 데이터엔지니어, IT컨설팅, ICT컨설팅, 데이터마이닝",2024/12/01,채용시
"[대기업,  IT 컴퓨터 프로그래밍 기업, 서울]SAP 개발",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49501610&location=ts&searchType=search&paid_fl=n&search_uuid=4de79499-8018-4a1a-9a45-52dae17011a4,에이치알포유(주),https://www.saramin.co.kr/zf_user/company-info/view?csn=b0p2MmFPMXBSZnlxSEQ3Q29sVmRuZz09,서울 금천구,경력 7~15년,대졸↑,정규직,정보 없음,"데이터분석가, 데이터엔지니어, 보안컨설팅, IT컨설팅, ICT컨설팅",2024/12/01,채용시
온라인IT기획(이커머스.개발관리PM.RPA)  대기업,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49501580&location=ts&searchType=search&paid_fl=n&search_uuid=4de79499-8018-4a1a-9a45-52dae17011a4,(주)스카우트파트너스,https://www.saramin.co.kr/zf_user/company-info/view?csn=UU9Jb0wxTnAralk5aCs1akVLTDI4UT09,서울 강남구,경력 4~17년,대졸↑,정규직,정보 없음,"유지보수, 네트워크, 솔루션, 인프라, B2B",2024/12/01,2024/12/31
긴급) HRIS(SAP HR) 기술 PM - 업계 최고 대기업 - 최우대,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49501554&location=ts&searchType=search&paid_fl=n&search_uuid=4de79499-8018-4a1a-9a45-52dae17011a4,휴머레인컨설팅,https://www.saramin.co.kr/zf_user/company-info/view?csn=SXZkaDFZZjhxbDlaVnpzWWh2bzhWZz09,서울전체,경력5년↑,대졸↑,정규직,정보 없음,"IT컨설팅, SE(시스템엔지니어), DevOps, ERP, SAP",2024/12/01,2024/12/31
[주요SI업체] PLM 및 R&D지원 시스템 개발 및 운영,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49479109&location=ts&searchType=search&paid_fl=n&search_uuid=4de79499-8018-4a1a-9a45-52dae17011a4,파워에이치알,https://www.saramin.co.kr/zf_user/company-info/view?csn=Si9JemFLK3NDLzJUVFFLb09uRy9YQT09,서울 강서구,경력 5~20년,대졸↑,정규직,정보 없음,"기술지원, 백엔드/서버개발, 웹개발, 유지보수, SE(시스템엔지니어)",2024/12/01,2024/12/27
[주요SI업체 계열사] M365 사이트 리더(경력 10년이상),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49460646&location=ts&searchType=search&paid_fl=n&search_uuid=4de79499-8018-4a1a-9a45-52dae17011a4,파워에이치알,https://www.saramin.co.kr/zf_user/company-info/view?csn=Si9JemFLK3NDLzJUVFFLb09uRy9YQT09,서울 강서구,경력 10~18년,대졸↑,정규직,정보 없음,"기술지원, 유지보수, 정보보안, IT컨설팅, SE(시스템엔지니어)",2024/12/01,2024/12/25
[코스닥] Automotive Embedded S/W개발,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49426943&location=ts&searchType=search&paid_fl=n&search_uuid=4de79499-8018-4a1a-9a45-52dae17011a4,파워에이치알,https://www.saramin.co.kr/zf_user/company-info/view?csn=Si9JemFLK3NDLzJUVFFLb09uRy9YQT09,서울 강남구,경력 3~20년,대졸↑,정규직,정보 없음,"딥러닝, 머신러닝, 영상처리, 임베디드, SDK",2024/12/01,2024/12/19
[그룹계열 SI업체] SAP PP 구축(경력 9년 - 16년),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49426927&location=ts&searchType=search&paid_fl=n&search_uuid=4de79499-8018-4a1a-9a45-52dae17011a4,파워에이치알,https://www.saramin.co.kr/zf_user/company-info/view?csn=Si9JemFLK3NDLzJUVFFLb09uRy9YQT09,서울 용산구,경력 9~16년,대졸↑,정규직,정보 없음,"IT컨설팅, 모델링, SAP, ABAP, 시스템설계",2024/12/01,2024/12/19
[주요SI업체 자회사] SAP 운영 / ABAP 개발자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49426912&location=ts&searchType=search&paid_fl=n&search_uuid=4de79499-8018-4a1a-9a45-52dae17011a4,파워에이치알,https://www.saramin.co.kr/zf_user/company-info/view?csn=Si9JemFLK3NDLzJUVFFLb09uRy9YQT09,서울 마포구,경력 4~16년,대졸↑,정규직,정보 없음,"유지보수, SE(시스템엔지니어), SI개발, ERP, SAP",2024/12/01,2024/12/19
[주요SI업체 자회사] SAP BW 프로젝트수행,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49426894&location=ts&searchType=search&paid_fl=n&search_uuid=4de79499-8018-4a1a-9a45-52dae17011a4,파워에이치알,https://www.saramin.co.kr/zf_user/company-info/view?csn=Si9JemFLK3NDLzJUVFFLb09uRy9YQT09,서울 중구,경력 3~16년,대졸↑,정규직,정보 없음,"유지보수, SE(시스템엔지니어), SI개발, ERP, SAP",2024/12/01,2024/12/19
[중견 IT솔루션] DB Engineer(과장-차장),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49442636&location=ts&searchType=search&paid_fl=n&search_uuid=4de79499-8018-4a1a-9a45-52dae17011a4,파워에이치알,https://www.saramin.co.kr/zf_user/company-info/view?csn=Si9JemFLK3NDLzJUVFFLb09uRy9YQT09,서울 영등포구,경력 5~15년,초대졸↑,정규직,정보 없음,"DBA, 데이터마이닝, NoSQL, PostgreSQL, 모델링",2024/12/01,2024/12/21
[주요SI대기업] SAP BC(Basis Consultant)담당,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49435483&location=ts&searchType=search&paid_fl=n&search_uuid=4de79499-8018-4a1a-9a45-52dae17011a4,파워에이치알,https://www.saramin.co.kr/zf_user/company-info/view?csn=Si9JemFLK3NDLzJUVFFLb09uRy9YQT09,서울 마포구,경력 3~16년,대졸↑,정규직,정보 없음,"유지보수, DBA, 인프라, ERP, SAP",2024/12/01,2024/12/20
[강서구] 미들웨어개발(책임급),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49501547&location=ts&searchType=search&paid_fl=n&search_uuid=4de79499-8018-4a1a-9a45-52dae17011a4,(주)시니어앤파트너즈,https://www.saramin.co.kr/zf_user/company-info/view?csn=K1kvQ0J4M1FzRlNqWDhHL3lGaGVhUT09,서울 강서구,경력 5~20년,초대졸↑,정규직,정보 없음,"미들웨어, 솔루션, API, Android, C++",2024/12/01,2024/12/15
[그룹계열 SI기업] SI PM - SAP ERP(경력 10년이상),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49479131&location=ts&searchType=search&paid_fl=n&search_uuid=4de79499-8018-4a1a-9a45-52dae17011a4,파워에이치알,https://www.saramin.co.kr/zf_user/company-info/view?csn=Si9JemFLK3NDLzJUVFFLb09uRy9YQT09,서울 용산구,경력 10~18년,대졸↑,정규직,정보 없음,"IT컨설팅, SE(시스템엔지니어), 데이터마이닝, 모델링, S/W",2024/12/01,2024/12/27
[강서구] SFX개발(책임급),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49501546&location=ts&searchType=search&paid_fl=n&search_uuid=4de79499-8018-4a1a-9a45-52dae17011a4,(주)시니어앤파트너즈,https://www.saramin.co.kr/zf_user/company-info/view?csn=K1kvQ0J4M1FzRlNqWDhHL3lGaGVhUT09,서울 강서구,경력 5~20년,초대졸↑,정규직,정보 없음,"그래픽디자인, 모션그래픽, GUI, VFX, 특수효과",2024/12/01,2024/12/15
[그룹계열 SI업체] SAP HR 운영(Success Factors),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49479155&location=ts&searchType=search&paid_fl=n&search_uuid=4de79499-8018-4a1a-9a45-52dae17011a4,파워에이치알,https://www.saramin.co.kr/zf_user/company-info/view?csn=Si9JemFLK3NDLzJUVFFLb09uRy9YQT09,서울 용산구,경력 4~16년,대졸↑,정규직,정보 없음,"IT컨설팅, 모델링, SAP, ABAP, 시스템설계",2024/12/01,2024/12/27
[그룹계열 SI업체] SAP PP / MM / SD 운영(경력 5년 - 16년),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49479145&location=ts&searchType=search&paid_fl=n&search_uuid=4de79499-8018-4a1a-9a45-52dae17011a4,파워에이치알,https://www.saramin.co.kr/zf_user/company-info/view?csn=Si9JemFLK3NDLzJUVFFLb09uRy9YQT09,서울 용산구,경력 5~16년,대졸↑,정규직,정보 없음,"IT컨설팅, 모델링, SAP, ABAP, 시스템설계",2024/12/01,2024/12/27
[강서구] GUI저작도구개발(책임-팀장급),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49501545&location=ts&searchType=search&paid_fl=n&search_uuid=4de79499-8018-4a1a-9a45-52dae17011a4,(주)시니어앤파트너즈,https://www.saramin.co.kr/zf_user/company-info/view?csn=K1kvQ0J4M1FzRlNqWDhHL3lGaGVhUT09,서울 강서구,경력 10~20년,초대졸↑,정규직,정보 없음,"React, 3D디자인, GUI, 3DMax, 솔루션",2024/12/01,2024/12/15
[중견반도체] 반도체 테스트 엔지니어(Test Engineer),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49426964&location=ts&searchType=search&paid_fl=n&search_uuid=4de79499-8018-4a1a-9a45-52dae17011a4,파워에이치알,https://www.saramin.co.kr/zf_user/company-info/view?csn=Si9JemFLK3NDLzJUVFFLb09uRy9YQT09,경기 성남시 분당구,경력 5~16년,대졸↑,정규직,정보 없음,"QA/테스터, 반도체, C++, 헤드헌팅",2024/12/01,2024/12/19
[코스닥] 통신장비 검증담당(경력 3년 - 9년),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49450411&location=ts&searchType=search&paid_fl=n&search_uuid=4de79499-8018-4a1a-9a45-52dae17011a4,파워에이치알,https://www.saramin.co.kr/zf_user/company-info/view?csn=Si9JemFLK3NDLzJUVFFLb09uRy9YQT09,경기 성남시 분당구,경력 3~9년,대졸↑,정규직,정보 없음,"정보통신, H/W, S/W, R&D, 헤드헌팅",2024/12/01,2024/12/22
[코스닥-통신장비]  품질보증담당,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49450392&location=ts&searchType=search&paid_fl=n&search_uuid=4de79499-8018-4a1a-9a45-52dae17011a4,파워에이치알,https://www.saramin.co.kr/zf_user/company-info/view?csn=Si9JemFLK3NDLzJUVFFLb09uRy9YQT09,경기 안양시 동안구,경력 5~10년,초대졸↑,정규직,정보 없음,"정보통신, QA, QC, 자재관리, 외주관리",2024/12/01,2024/12/22
[CHAI CRE.W] 총무팀장 모집(경력 10년~15년),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49239077&location=ts&searchType=search&paid_fl=n&search_uuid=4de79499-8018-4a1a-9a45-52dae17011a4,(주)차이커뮤니케이션,https://www.saramin.co.kr/zf_user/company-info/view?csn=dmoyY0piTE5WM3F1SGlNSTBmcTF3dz09,서울전체,경력 10~15년,학력무관,정규직,정보 없음,"네트워크, 정보통신, 자산관리, 자산운용, 법무사",2024/11/25,상시채용
[스타트업체-서초]  통신/인프라 엔지니어,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49435448&location=ts&searchType=search&paid_fl=n&search_uuid=4de79499-8018-4a1a-9a45-52dae17011a4,파워에이치알,https://www.saramin.co.kr/zf_user/company-info/view?csn=Si9JemFLK3NDLzJUVFFLb09uRy9YQT09,서울 서초구,경력 3~12년,초대졸↑,정규직,정보 없음,"기술지원, SE(시스템엔지니어), 네트워크, 방화벽, 인프라",2024/12/01,2024/12/20
[강서구] Map개발(책임급),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49501542&location=ts&searchType=search&paid_fl=n&search_uuid=4de79499-8018-4a1a-9a45-52dae17011a4,(주)시니어앤파트너즈,https://www.saramin.co.kr/zf_user/company-info/view?csn=K1kvQ0J4M1FzRlNqWDhHL3lGaGVhUT09,서울 강서구,경력 5~20년,초대졸↑,정규직,정보 없음,"그래픽디자인, 모션그래픽, GUI, 렌더링, MAP개발",2024/12/01,2024/12/15
"인공위성기업 전력전자 H/W, FPGA, 레이다 신호처리 각각",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49501527&location=ts&searchType=search&paid_fl=n&search_uuid=4de79499-8018-4a1a-9a45-52dae17011a4,(주)피플렙,https://www.saramin.co.kr/zf_user/company-info/view?csn=bGVYeU5YbVBJWmsza2RiQ3U1WkhJUT09,경기 용인시 수지구,경력3년↑,대졸↑,정규직,정보 없음,"임베디드, FPGA, H/W, FPGA, 시스템설계",2024/12/01,2024/12/31
[경기 과천] AI 모빌리티 하드웨어 개발,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49501524&location=ts&searchType=search&paid_fl=n&search_uuid=4de79499-8018-4a1a-9a45-52dae17011a4,SMI,https://www.saramin.co.kr/zf_user/company-info/view?csn=Skh5N1B0U3VsbXgrMHljdUltMVgyUT09,경기 과천시,경력 3~10년,대졸↑,정규직,정보 없음,"H/W, 회로설계, PCB, SMT, 자율주행",2024/12/01,2024/12/31
[경기 과천] AI 모빌리티 펌웨어개발,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49501522&location=ts&searchType=search&paid_fl=n&search_uuid=4de79499-8018-4a1a-9a45-52dae17011a4,SMI,https://www.saramin.co.kr/zf_user/company-info/view?csn=Skh5N1B0U3VsbXgrMHljdUltMVgyUT09,경기 과천시,경력 3~10년,대졸↑,정규직,정보 없음,"펌웨어, 펌웨어, 자율주행, MCU, 반도체",2024/12/01,2024/12/31
