채용 제목,채용 링크,회사명,회사 링크,지역,경력,학력,고용형태,연봉,직무 분야,등록일,마감일
(주) 쓰리디랩스 2024년 하반기 기술직군 신입/경력직 공채,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49469128&location=ts&searchType=search&paid_fl=n&search_uuid=f0f26b14-aa71-4917-9dad-acb1dc5c249d,(주)쓰리디랩스,https://www.saramin.co.kr/zf_user/company-info/view?csn=VUhTSHM1dTN4dWVrUUUrUTkxR0poUT09,서울전체,경력무관,대졸↑,정규직,"4,080 만원","영상처리, 유지보수, 네트워크, 솔루션, Windows",2024/11/27,2024/12/10
금융IT 인프라 품질관리,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49482985&location=ts&searchType=search&paid_fl=n&search_uuid=f0f26b14-aa71-4917-9dad-acb1dc5c249d,탑커리어인사이트,https://www.saramin.co.kr/zf_user/company-info/view?csn=akxWaGNVUmpFM0tOVkwyMXFJa0tJUT09,서울 중구,경력 3~15년,대졸↑,정규직,정보 없음,"QA/테스터, 네트워크, 미들웨어, 인프라, 헤드헌팅",2024/11/30,2024/12/06
금융권 네트워크(L2 ~ L4) 운영,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49476880&location=ts&searchType=search&paid_fl=n&search_uuid=f0f26b14-aa71-4917-9dad-acb1dc5c249d,탑커리어인사이트,https://www.saramin.co.kr/zf_user/company-info/view?csn=akxWaGNVUmpFM0tOVkwyMXFJa0tJUT09,서울 중구,경력 4~12년,대졸↑,정규직,정보 없음,"VPN, 네트워크, 방화벽, 솔루션, 헤드헌팅",2024/11/30,2024/12/06
금융IT SI 사업관리,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49478100&location=ts&searchType=search&paid_fl=n&search_uuid=f0f26b14-aa71-4917-9dad-acb1dc5c249d,탑커리어인사이트,https://www.saramin.co.kr/zf_user/company-info/view?csn=akxWaGNVUmpFM0tOVkwyMXFJa0tJUT09,서울 중구,경력5년↑,대졸↑,정규직,정보 없음,"IT컨설팅, 인프라, 헤드헌팅",2024/11/30,2024/12/06
중견기업  덴탈 네비게이션 SW (3D렌더링),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49499982&location=ts&searchType=search&paid_fl=n&search_uuid=f0f26b14-aa71-4917-9dad-acb1dc5c249d,(주)글로벌스카우트,https://www.saramin.co.kr/zf_user/company-info/view?csn=L2pZUjZxbzF5bTJoSS8yT29EejJqQT09,경기 수원시 영통구,경력 1~5년,대졸↑,정규직,정보 없음,"모델링, 영상처리, OpenGL, R",2024/11/30,채용시
로봇 시스템 제어 (책임연구원),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49499932&location=ts&searchType=search&paid_fl=n&search_uuid=f0f26b14-aa71-4917-9dad-acb1dc5c249d,에이치알포유(주),https://www.saramin.co.kr/zf_user/company-info/view?csn=b0p2MmFPMXBSZnlxSEQ3Q29sVmRuZz09,서울 송파구,경력 5~10년,대졸↑,정규직,정보 없음,"알고리즘, R&D, 솔루션, C++",2024/11/30,2024/12/30
[유럽외투법인] TEM Field Service Engineer (정규직),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49499927&location=ts&searchType=search&paid_fl=n&search_uuid=f0f26b14-aa71-4917-9dad-acb1dc5c249d,에이치알포유(주),https://www.saramin.co.kr/zf_user/company-info/view?csn=b0p2MmFPMXBSZnlxSEQ3Q29sVmRuZz09,서울 금천구,경력 3~10년,대졸↑,정규직,정보 없음,"유지보수, 고객관리, R, 화학",2024/11/30,2024/12/30
[스마트제조 솔루션 개발기업] MES개발,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49499923&location=ts&searchType=search&paid_fl=n&search_uuid=f0f26b14-aa71-4917-9dad-acb1dc5c249d,(주)맨토스파워,https://www.saramin.co.kr/zf_user/company-info/view?csn=WW5hU1o4NEUrZGtoWTdsN0JLelBsQT09,경기 수원시 영통구,경력5년↑,초대졸↑,정규직,정보 없음,"C#, Java, jQuery, MSSQL, OracleDB",2024/11/30,2024/12/06
[전자문서 솔루션 개발사] JAVA 백엔드개발,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49499922&location=ts&searchType=search&paid_fl=n&search_uuid=6cc9a300-6c44-433c-8354-1113f0e519d5,(주)맨토스파워,https://www.saramin.co.kr/zf_user/company-info/view?csn=WW5hU1o4NEUrZGtoWTdsN0JLelBsQT09,경기 성남시 분당구,경력4년↑,학력무관,정규직,정보 없음,"백엔드/서버개발, Java, Javascript, 솔루션, API",2024/11/30,2024/12/06
"중견기업 충전기 Firmware 개발(MCU) 주임,대리,과장,차장급(굿",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49499918&location=ts&searchType=search&paid_fl=n&search_uuid=6cc9a300-6c44-433c-8354-1113f0e519d5,굿커리어,https://www.saramin.co.kr/zf_user/company-info/view?csn=QWhIN0RUdWVLdFpHVUFMaWpUTHo0UT09,서울 강남구,경력3년↑,대졸↑,정규직,정보 없음,"백엔드/서버개발, 프론트엔드, 미들웨어, 임베디드, 컴퓨터비전",2024/11/30,2024/12/30
